date,comment,link,Feelings
2024-12-13,"LX TOP1 12월호를 통해 2024 K-GEO 페스타에 대해 재미있게 알아가네요
다음에는 저도 꼭 함께하고 싶어요",https://www.youtube.com/watch?v=wIVRoPuEzS0,0
2024-12-13,우리나라에서도 이런 다양한 기술혁신 박람회가 진행되니 좋습니다. 앞으로도 계속  K-GEO 페스타와 국내 최초로 개발된 'LX GNSS' 기술 같은 발전이 이뤄졌으면 좋겠습니다.,https://www.youtube.com/watch?v=wIVRoPuEzS0,0
2024-12-13,"2024년 12월 LX한국국토정보공사 소식 영상 잘 보았습니다 ^^
2024 K-GEO 페스타 개최 소식은 뉴스에서 접했는데 현장의 모습을 보니 내년에는 저도 방문해보고 싶어지네요 ㅎ
다양한 소식들을 전해주셔서 감사하고 앞으로도 잘 부탁드려요~ 화이팅!",https://www.youtube.com/watch?v=wIVRoPuEzS0,0
2024-12-13,"2024 K-GEO FESTA 에서 선보여진 멋진 공간정보 혁신 기술들 참 멋져요~~
우리나라의 혁신적인 기술들이 세계를 향해 뻗어나갈 거예요 ^^",https://www.youtube.com/watch?v=wIVRoPuEzS0,0
2024-12-13,좋은정보 감사합니다😅,https://www.youtube.com/watch?v=wIVRoPuEzS0,0
2024-12-13,"2024 K-GEO 페스타 소식 잘 보았습니다.  디지털 트윈 기술의 중요성도 잘 설명해 주셨네요 
아시아 최대 규모의 공간정보 혁신기술 박람회 K-GEO 페스타와 국내 최초로 개발된 'LX GNSS' 기술 소개는 한국국토정보공사의 혁신적 도전을 잘 보여주는 부분이었습니다.
LX 한국국토정보공사의 기술력에 대해 더 깊은 신뢰에  관심을 가지게된 계기가 되었네요.  감사합니다.",https://www.youtube.com/watch?v=wIVRoPuEzS0,0
2024-12-13,축제의현장 잘 보고 갑니다.❤,https://www.youtube.com/watch?v=wIVRoPuEzS0,0
2024-12-13,K-GEO페스타는 무척 관심가는 축제로서 기대감을 채워주는거 같습니다.,https://www.youtube.com/watch?v=wIVRoPuEzS0,0
2024-12-13,LX TOP 12월 잘 보았습니다.,https://www.youtube.com/watch?v=wIVRoPuEzS0,0
2024-12-13,"K-GEO페스타를 통해 우리나라의 선진적인 공간정보 기술을 보여줄수 있는 기회가 되었다고 생각합니다. 특히 디지털 국토 SOC는 수업에서만 들어봤던 내용을 실제로 만날수 있어서 반가웠습니다! 직접개발한 장비로 소형화, 경량화 까지 진행하여 직원분들의 편의와 동시에 기술의 발전까지 꾀할수 있으니 LX의 행보가 자랑스럽네요",https://www.youtube.com/watch?v=wIVRoPuEzS0,0
