date,comment,link
2024-12-04,내용은 좋은데 저퀄리티 영상이네요,https://www.youtube.com/watch?v=AEa5wkMLLU4
2024-12-03,"방호관 설치 방법이 다르네요, 방호관 설치에 쓰이는 기계가 따로 있습니다,",https://www.youtube.com/watch?v=AEa5wkMLLU4
2024-12-02,요즘 경기도 어려운데 고생하십니다 한전ㅎㅇㅌ,https://www.youtube.com/watch?v=DKkJ7jOF6tE
2024-11-27,처음 나오시는 분 드라마 주인공 누구 닮았는데..멋지네용!,https://www.youtube.com/watch?v=DKkJ7jOF6tE
2024-11-25,한국전력님 지금 마고진학을앞두고 있는 학생입니다 꼭 가고싶습니다 한전!!,https://www.youtube.com/watch?v=rlgB79FfPm8
2024-11-24,좋아요,https://www.youtube.com/watch?v=rlgB79FfPm8
2024-11-20,킹킹킹현영,https://www.youtube.com/watch?v=rlgB79FfPm8
2024-11-19,가슴 웅클하네요. ㅠㅠ,https://www.youtube.com/watch?v=cEmzGBDP8ew
