date,comment,link
2024-12-11,"이번 LX TOP1 12월호 행복한 소식이 가득하네요.😁
아시아 최대 공간정보 혁신기술 박람회인 K-GEO페스타 소식과 국내 최초  위성 측량장비인 LX GNSS 개발 소식 너무 멋지네요.
LX의 뛰어난 기술! 힘차게 응원하겠습니다. ❤️",https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-10,"올 한해도 정말 열일한 우리 LX한국국토정보공사!
정말 수고에 감사드리고 취임 1주년도 축하드려요~^^",https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-10,LX TOP1 12월호를 통해 다양한 행사들에 대해 잘 봤네요 LX의 혁신적인 미래가 정말 기대됩니다 응원할게요,https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-10,LX GNSS 개발과 K-GEO 페스타 소식 잘봤습니다!,https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-10,lx 12월호 잘봤습니다!,https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-10,"LX TOP1 12월호 잘봤습니다~
아시아 최대 공간정보 혁신기술 박람회, ‘K-GEO페스타’와
국내 최초  위성 측량장비, ‘LX GNSS’ 개발 소식을 통해 LX의 활약상을 본듯해 뿌듯하네요",https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-10,"LX TOP1 12월 호를 통해 LX에서 12월 간 어떤 일들을 하였는지 알 수 있어 좋았습니다
아시아 최대공간정보 혁신기술 박람회,  ‘K-GEO페스타’와 국내 최초  위성 측량장비, ‘LX GNSS’ 개발 소식 등 많네요",https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-10,"연말의 축제 같은 소식으로 가득채움 
12월 LX Top1 👏 축제의 현장 잘 보았습니다 
디지털트윈 공간정보 기술의 대세로 자리매김한 
LX한국국토정보공사 더욱 견실하고 탄탄하게 
가장 앞서나가길 힘차게 응원합니다 👍",https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-10,"2024 K-GEO 페스타 소식
정말 유익하고 알차네요!",https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-09,K-GEO 페스타 소식과 LX 공사가 국내 최초 개발한 위성 측량장비 LX GNSS 이야기 잘 들었습니다!,https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-09,"아시아 최대 공간정보 혁신기술 박람회 K-GEO페스타 ! 
국내 최초 위성 측량장비 소식과 LX GNSS 개발 소식 알 수 있어 좋았습니다.",https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-09,"아시아 최대 공간정보 혁신기술 박람회 K-GEO페스타 ! 국내 최초 위성 측량장비 소식과 LX GNSS 개발 소식이 정말 유익했습니다.
미래로 나아가는 K-GEO페스타 화이팅!",https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-09,아시아 최대 공간정보 혁신기술 박람회 K-GEO페스타와 국내 최초 위성 측량장비 LX GNSS 개발 소식 정말 멋지네요.,https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-09,"연말의 축제 같은 소식들로 가득 채운 12월의 LX Top1 잘 봤어요.
2024 K-GEO Festa 소식을 알아가는 유익한 시간이었어요 😊",https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-09,"2024 K-GEO 페스타 대박이네요.
수빈아나운서님 너무 멋지십니다.",https://www.youtube.com/watch?v=wIVRoPuEzS0
2024-12-11,브이로그 좋아요 감사합니다,https://www.youtube.com/watch?v=jzZy1HxCo40
2024-12-11,프로그래밍 교육 브이로그 좋았습니다!,https://www.youtube.com/watch?v=jzZy1HxCo40
2024-12-11,LX직원분들 화이팅입니다!,https://www.youtube.com/watch?v=jzZy1HxCo40
2024-12-10,영상 잘봤습니다~LX한국국토정보공사를 진심으로 응원합니다^^,https://www.youtube.com/watch?v=jzZy1HxCo40
2024-12-10,LX 부트캠프에서 어떤일을 하고 있는지 영상을 통해 잘 알수 있었어요 지적측량에서 프로그래밍 개발자로 전직하여 적응하는 모습이 인상깊었어요 부트캠프를 통해 새로운분야에 도전하는 모든분들 응원해요❤,https://www.youtube.com/watch?v=jzZy1HxCo40
2024-12-10,직원들 브이로그 너무 재밌어요!,https://www.youtube.com/watch?v=jzZy1HxCo40
2024-12-10,LX파이팅,https://www.youtube.com/watch?v=jzZy1HxCo40
2024-12-10,Lx가 프로그래밍  교육으로  직원들 수준도  높이며 업무혁신하는  모습 좋습니다.❤,https://www.youtube.com/watch?v=jzZy1HxCo40
2024-12-09,LX부트캠프 공공기관 브이로그를 보니 어떤 일을 하는지 더 자세하게 알아서 더 재밌고 좋네요~,https://www.youtube.com/watch?v=jzZy1HxCo40
2024-12-09,"lx가 측량만 하는곳이 아니라 이렇게 정보관련으로 시스템관련 업무를 하시는 분들도 계신다는 걸 알려주는 영상이네요! 
지적측량을 하다 프로그래밍하는 개발자로 전직하시면서 새로운 꿈을 향해 나아가시는 모습이 정말 훌륭하다고 생각했습니다.
국토정보공사는 어떤곳인지 궁금했었는데 자세하게 알수 있어서 재밌고 흥미로웠습니다!!  응원합니다! 화이팅!",https://www.youtube.com/watch?v=jzZy1HxCo40
